subj,exclude,abs_mean,rel_mean,pct_removed
204016,0,0.245430,0.051524,0.180911
211316,0,0.135449,0.043510,0.301513
238033,0,0.337777,0.027857,0.269627
239136,0,0.126808,0.056417,0.189503
255740,0,0.128408,0.032912,0.213885
257946,0,0.211346,0.049376,0.226269
274542,0,0.092002,0.033338,0.223659
290136,0,0.110466,0.039526,0.220224
310621,0,0.156132,0.039111,0.219114
341834,0,0.099698,0.036731,0.239394
348545,0,0.106899,0.036188,0.271906
361941,0,0.224080,0.033473,0.195377
371843,0,0.197701,0.044149,0.169361
377451,0,0.251826,0.034095,0.213650
386250,0,0.152403,0.033145,0.198637
424939,0,0.139317,0.032777,0.221711
449753,0,0.202613,0.034483,0.232422
481951,0,0.204350,0.028265,0.237176
510225,0,0.152124,0.036615,0.242019
523032,0,0.168257,0.031870,0.276189
524135,0,0.072323,0.030822,0.228926
617748,0,0.224593,0.064341,0.246864
627852,0,0.193675,0.033290,0.229616
680957,0,0.198539,0.048588,0.220520
685058,0,0.121414,0.036196,0.231789
692964,1,0.451903,0.040685,0.245929
694362,0,0.198059,0.039761,0.278562
720337,0,0.209599,0.026350,0.228109
723141,0,0.133872,0.033223,0.251635
729557,0,0.058958,0.030978,0.226888
837964,0,0.192503,0.076298,0.293072
845458,0,0.212036,0.043645,0.149816
884064,0,0.134242,0.038798,0.240307
886674,0,0.061861,0.027708,0.188753
901038,1,0.435766,0.085065,0.283892
947668,1,0.361552,0.082607,0.221525
971160,0,0.156657,0.033558,0.190461
978578,0,0.101696,0.041324,0.232715
100206,0,0.098182,0.025014,0.236432
100307,0,0.112245,0.030449,0.203791
101107,0,0.142318,0.035572,0.298334
106521,0,0.268717,0.033610,0.201563
107321,0,0.165257,0.030441,0.189022
110411,0,0.113256,0.023501,0.218605
114318,0,0.211469,0.028503,0.185357
115320,0,0.103065,0.059685,0.280170
116524,1,0.595904,0.080752,0.281776
117021,0,0.140220,0.040578,0.239236
119025,0,0.145428,0.038519,0.261291
122822,0,0.089736,0.038308,0.206878
123824,0,0.264132,0.055418,0.256160
126325,0,0.256855,0.050810,0.266965
139435,0,0.188133,0.057470,0.291081
140925,1,0.215980,0.084871,0.256816
143224,0,0.162212,0.042633,0.267433
145834,0,0.130640,0.031498,0.248718
146937,0,0.122768,0.032845,0.250460
147636,0,0.210007,0.037352,0.229121
147737,0,0.149161,0.042949,0.252315
150726,0,0.096336,0.044977,0.208431
151526,0,0.222101,0.057972,0.168223
154936,0,0.322033,0.047117,0.247503
156435,0,0.119245,0.033117,0.187988
156637,1,0.266519,0.083563,0.193978
157336,0,0.181539,0.032106,0.248670
159138,0,0.122560,0.044508,0.226307
160729,0,0.240148,0.029837,0.215107
162935,0,0.092549,0.062252,0.203747
163836,1,0.256776,0.079867,0.372369
165638,0,0.118296,0.050219,0.292556
166640,1,0.401682,0.061703,0.180185
168947,0,0.147950,0.027801,0.301898
169343,0,0.160963,0.045967,0.254260
169444,0,0.110595,0.030045,0.226952
171532,0,0.293789,0.060581,0.247477
172938,0,0.183007,0.053133,0.290179
175035,0,0.355765,0.063972,0.283316
175439,1,0.170527,0.076807,0.268586
176744,0,0.134986,0.027404,0.223923
178748,0,0.345717,0.038904,0.286755
180432,0,0.160222,0.029756,0.176046
186444,0,0.304035,0.041165,0.233378
191235,0,0.289354,0.047057,0.270802
192641,0,0.108615,0.037018,0.268106
193239,0,0.197904,0.031468,0.276378
198047,0,0.192310,0.039687,0.240362
199150,1,0.170384,0.076763,0.222281
203418,0,0.123337,0.033488,0.192002
207123,0,0.135342,0.072440,0.211122
209329,0,0.072573,0.032643,0.284000
209834,1,0.246299,0.084021,0.265754
211619,0,0.182356,0.035272,0.242560
211720,0,0.148233,0.041734,0.183984
217429,0,0.102860,0.026230,0.280036
228434,0,0.081912,0.044288,0.225720
250427,0,0.198028,0.072002,0.236014
255639,0,0.188932,0.034548,0.256955
280739,0,0.181347,0.043408,0.260916
280941,0,0.093854,0.041440,0.285473
283543,0,0.352680,0.053438,0.164045
297655,0,0.150482,0.035716,0.193218
298051,0,0.182096,0.069920,0.256451
303624,0,0.260405,0.046950,0.270076
322224,0,0.124654,0.026544,0.264069
330324,0,0.090325,0.047035,0.242540
346137,0,0.257148,0.062253,0.266225
351938,0,0.101638,0.023838,0.221509
378756,0,0.160187,0.065309,0.246390
389357,0,0.121830,0.051310,0.245268
395958,0,0.289633,0.054774,0.259935
401422,0,0.151147,0.036816,0.244188
465852,0,0.189991,0.062621,0.241760
481042,0,0.144206,0.028860,0.250355
492754,0,0.128614,0.049917,0.254261
552544,0,0.121385,0.024875,0.214716
553344,0,0.165441,0.031621,0.162177
562345,1,0.225101,0.100027,0.240928
579665,0,0.292628,0.036306,0.290970
580044,0,0.104927,0.051852,0.243269
580347,0,0.100755,0.039385,0.247743
585256,0,0.250096,0.045935,0.296116
586460,0,0.147127,0.027037,0.264493
599469,0,0.285907,0.054665,0.235349
620434,0,0.166845,0.029656,0.245227
656253,0,0.072901,0.043405,0.169101
665254,0,0.196542,0.039404,0.249579
671855,0,0.160548,0.057938,0.286232
688569,0,0.232739,0.041700,0.222541
695768,0,0.357837,0.070401,0.291624
727553,1,0.404674,0.033832,0.231132
729254,0,0.072341,0.030733,0.227028
731140,0,0.156937,0.042261,0.303636
749058,0,0.137497,0.022848,0.198284
749361,0,0.147701,0.040372,0.191145
751348,0,0.084869,0.034212,0.195941
769064,0,0.238573,0.035013,0.294856
825048,0,0.125426,0.038993,0.234327
833148,0,0.063295,0.019842,0.237782
869472,1,0.506497,0.068300,0.217472
882161,0,0.094547,0.054261,0.254655
887373,0,0.178966,0.022472,0.236191
901442,0,0.190989,0.028846,0.228928
910241,0,0.140644,0.044478,0.259561
926862,0,0.229788,0.034881,0.211884
942658,0,0.090500,0.032344,0.197001
972566,0,0.122012,0.064951,0.275325
