subj,exclude,abs_mean,rel_mean,pct_removed
445543,0,0.219233,0.048952,0.232814
680250,0,0.133015,0.076179,0.271825
867468,0,0.198428,0.055805,0.171596
107422,0,0.079882,0.031146,0.168689
101915,0,0.207462,0.037116,0.307660
930449,0,0.197204,0.028710,0.203872
529549,0,0.083920,0.043613,0.183047
108222,0,0.188030,0.036445,0.234425
156536,0,0.145132,0.026212,0.144497
130922,0,0.306466,0.034762,0.206702
687163,0,0.261657,0.042942,0.221548
103818,0,0.113513,0.048788,0.221280
385046,0,0.110075,0.023016,0.207755
125222,0,0.161767,0.044264,0.263592
495255,0,0.168625,0.048241,0.190096
158136,0,0.130036,0.044101,0.247143
196952,0,0.108418,0.028890,0.236088
213522,0,0.104725,0.028603,0.249653
382242,1,0.220295,0.088976,0.204963
187850,0,0.170304,0.044975,0.197027
773257,0,0.098178,0.045767,0.243617
959574,0,0.199581,0.024587,0.176701
110613,0,0.151278,0.052461,0.251391
177140,0,0.151372,0.037727,0.281423
128127,0,0.169025,0.025885,0.244254
111312,0,0.218059,0.037498,0.281067
815247,0,0.315671,0.039124,0.267328
192136,0,0.120183,0.026394,0.313497
952863,0,0.180592,0.038498,0.234925
767464,0,0.112000,0.034680,0.278951
231928,0,0.266182,0.043027,0.246562
192540,0,0.241805,0.029560,0.191431
121416,0,0.156395,0.035940,0.268665
130114,0,0.054893,0.035990,0.245423
178950,0,0.084603,0.033902,0.248296
996782,0,0.165395,0.033783,0.166633
119732,0,0.130370,0.035735,0.183623
109325,0,0.162181,0.060063,0.227013
139637,0,0.130288,0.034949,0.233116
178243,0,0.142673,0.056449,0.225323
176845,0,0.183296,0.044597,0.206166
111413,0,0.219335,0.039848,0.217661
567961,0,0.117235,0.029436,0.277507
156233,1,1.418391,0.172578,0.215412
178142,0,0.090924,0.030376,0.246706
308129,0,0.232059,0.055631,0.151484
529953,0,0.090210,0.035121,0.256473
993675,0,0.149345,0.044747,0.241286
108323,0,0.137856,0.026735,0.289619
922854,0,0.178230,0.070060,0.224954
594156,0,0.171891,0.038778,0.226792
657659,0,0.200732,0.030542,0.284173
917558,0,0.109787,0.050723,0.310665
113316,0,0.113179,0.058307,0.221600
111716,1,0.703497,0.041113,0.305916
193845,0,0.360476,0.034710,0.187654
555348,0,0.211613,0.071169,0.286103
180230,0,0.124395,0.036213,0.221109
634748,0,0.136757,0.025154,0.250918
194746,0,0.275830,0.048382,0.320957
355239,0,0.170858,0.075034,0.209462
196144,0,0.073805,0.049728,0.290167
188145,0,0.110230,0.052754,0.315082
141119,0,0.129998,0.044309,0.238579
885975,0,0.195909,0.033654,0.256062
213017,0,0.219665,0.037738,0.253706
131924,0,0.148680,0.065409,0.177602
198350,0,0.316824,0.042640,0.215752
969476,0,0.162052,0.037480,0.201049
419239,0,0.167341,0.063483,0.281955
151627,0,0.129431,0.032288,0.250426
102311,0,0.291964,0.032802,0.240305
872764,0,0.229397,0.051463,0.226917
118124,0,0.096350,0.053318,0.133841
127832,0,0.167520,0.040523,0.252116
715647,0,0.092144,0.022903,0.254640
146129,0,0.119891,0.035137,0.227805
214019,0,0.137792,0.046944,0.266085
123521,0,0.103942,0.044818,0.165209
857263,0,0.118559,0.038949,0.209292
163432,0,0.276203,0.048011,0.226390
128935,0,0.321798,0.047486,0.322800
172534,0,0.254375,0.028874,0.259535
827052,0,0.205515,0.029549,0.162907
180735,0,0.121603,0.035797,0.283217
991267,0,0.089514,0.039803,0.200201
167036,0,0.337753,0.029011,0.207771
164030,0,0.092588,0.023959,0.190089
106824,0,0.116790,0.027286,0.193603
513130,0,0.194197,0.040051,0.269395
165840,0,0.181181,0.033184,0.241114
169040,1,0.386090,0.079914,0.216764
973770,0,0.115272,0.048068,0.316191
519950,0,0.060006,0.045126,0.237408
120414,0,0.152998,0.027907,0.261574
154330,0,0.209077,0.072595,0.219249
899885,0,0.152572,0.028101,0.257271
275645,0,0.276292,0.046878,0.262984
112920,0,0.092161,0.038457,0.169203
707749,1,0.244565,0.065195,0.351426
656657,0,0.128716,0.048324,0.245893
150928,0,0.182450,0.036240,0.250293
771354,0,0.082474,0.036655,0.234869
191942,0,0.149585,0.028943,0.180208
395251,0,0.062484,0.042102,0.211190
192843,0,0.226018,0.031403,0.211140
133928,0,0.330970,0.029538,0.207187
878877,0,0.101729,0.034733,0.237069
105115,0,0.092715,0.029487,0.204770
105620,0,0.160018,0.030590,0.206604
107018,0,0.071331,0.047197,0.286565
107220,1,0.239894,0.089320,0.182406
115219,0,0.364889,0.050972,0.263284
117930,0,0.094977,0.050433,0.266454
118023,0,0.076764,0.054637,0.281807
118225,0,0.085770,0.036474,0.206665
128026,1,0.396029,0.046588,0.203709
134829,0,0.317248,0.036858,0.296291
135124,0,0.094517,0.024594,0.244987
137229,0,0.093373,0.060056,0.242487
139839,0,0.149692,0.029871,0.284091
143325,1,0.383457,0.050319,0.199536
145632,0,0.132685,0.035278,0.245266
148335,0,0.161170,0.062355,0.222144
148840,0,0.132628,0.033547,0.206720
149236,0,0.097591,0.040714,0.234086
149842,0,0.182359,0.034932,0.246756
152831,0,0.090307,0.031336,0.274074
155231,0,0.194432,0.030071,0.208871
157942,0,0.078487,0.034490,0.229620
159946,0,0.271672,0.042283,0.235894
160830,1,0.534394,0.045856,0.335944
161327,1,0.354057,0.087322,0.304547
167440,0,0.159766,0.035183,0.247512
170934,0,0.178868,0.040717,0.208706
180129,1,0.541068,0.071384,0.251582
185341,0,0.162611,0.042165,0.246633
185442,0,0.072867,0.030585,0.244342
186848,0,0.118251,0.073674,0.292187
197550,0,0.087093,0.059690,0.235359
198855,0,0.312877,0.028163,0.296571
200513,0,0.158382,0.027104,0.214365
200917,0,0.230654,0.044618,0.246439
201111,0,0.095868,0.027272,0.248403
202820,0,0.292820,0.053663,0.209788
