subj,task,run,abs_mean,rel_mean,pct_removed
445543,SOCIAL,LR,0.657675,0.112975,0.615385
445543,SOCIAL,RL,0.406628,0.109445,0.433333
680250,SOCIAL,LR,0.189527,0.125978,0.555556
680250,SOCIAL,RL,0.313924,0.138567,0.333333
867468,SOCIAL,LR,0.631094,0.133856,0.285714
867468,SOCIAL,RL,0.388910,0.149741,0.340909
107422,SOCIAL,LR,0.192958,0.061175,0.354839
107422,SOCIAL,RL,0.132480,0.058422,0.290323
101915,SOCIAL,LR,0.389969,0.091183,0.500000
101915,SOCIAL,RL,0.568161,0.070233,0.590909
930449,SOCIAL,LR,0.333555,0.062715,0.258065
930449,SOCIAL,RL,0.178877,0.064399,0.307692
529549,SOCIAL,LR,0.169312,0.092759,0.393939
529549,SOCIAL,RL,0.172068,0.068621,0.241379
108222,SOCIAL,LR,0.547319,0.083162,0.511111
108222,SOCIAL,RL,0.389849,0.078828,0.400000
156536,SOCIAL,LR,0.320291,0.054466,0.285714
156536,SOCIAL,RL,0.239440,0.054604,0.208333
130922,SOCIAL,LR,1.381050,0.068317,0.343750
130922,SOCIAL,RL,0.414516,0.064759,0.379310
687163,SOCIAL,LR,0.858062,0.086861,0.466667
687163,SOCIAL,RL,0.503058,0.077193,0.392857
103818,SOCIAL,LR,0.234203,0.108986,0.352941
103818,SOCIAL,RL,0.251918,0.098490,0.297297
385046,SOCIAL,LR,0.166084,0.039003,0.310345
385046,SOCIAL,RL,0.139757,0.038626,0.407407
125222,SOCIAL,LR,0.247107,0.110472,0.558824
125222,SOCIAL,RL,0.656842,0.102792,0.394737
495255,SOCIAL,LR,0.465717,0.105325,0.341463
495255,SOCIAL,RL,0.227869,0.101215,0.294118
158136,SOCIAL,LR,0.275866,0.090863,0.531250
158136,SOCIAL,RL,0.273522,0.084964,0.533333
196952,SOCIAL,LR,0.378652,0.059059,0.370370
196952,SOCIAL,RL,0.146224,0.055165,0.416667
213522,SOCIAL,LR,0.145730,0.051328,0.392857
213522,SOCIAL,RL,0.158402,0.051251,0.424242
382242,SOCIAL,LR,0.484492,0.153678,0.257143
382242,SOCIAL,RL,0.579504,0.169417,0.218750
187850,SOCIAL,LR,0.378352,0.105487,0.342105
187850,SOCIAL,RL,0.310952,0.094596,0.351351
773257,SOCIAL,LR,0.196800,0.097623,0.377778
773257,SOCIAL,RL,0.161804,0.096637,0.369565
959574,SOCIAL,LR,0.290553,0.046973,0.314286
959574,SOCIAL,RL,0.246403,0.059114,0.324324
110613,SOCIAL,LR,0.420148,0.101924,0.458333
110613,SOCIAL,RL,0.291443,0.127966,0.517241
177140,SOCIAL,LR,0.282956,0.074545,0.468750
177140,SOCIAL,RL,0.529790,0.071490,0.545455
128127,SOCIAL,LR,0.115205,0.046794,0.423077
128127,SOCIAL,RL,0.116167,0.049247,0.444444
111312,SOCIAL,LR,0.398815,0.072948,0.411765
111312,SOCIAL,RL,0.638613,0.069209,0.607143
815247,SOCIAL,LR,0.709811,0.091426,0.412698
815247,SOCIAL,RL,0.683469,0.070166,0.500000
192136,SOCIAL,LR,0.308053,0.071538,0.614035
192136,SOCIAL,RL,0.185306,0.052690,0.500000
952863,SOCIAL,LR,0.283537,0.063621,0.382353
952863,SOCIAL,RL,0.342955,0.069911,0.454545
767464,SOCIAL,LR,0.194944,0.055760,0.421053
767464,SOCIAL,RL,0.149795,0.069368,0.571429
231928,SOCIAL,LR,0.527919,0.082112,0.384615
231928,SOCIAL,RL,0.950193,0.078679,0.500000
192540,SOCIAL,LR,0.545059,0.065491,0.416667
192540,SOCIAL,RL,0.473548,0.054131,0.400000
121416,SOCIAL,LR,0.313512,0.088341,0.548387
121416,SOCIAL,RL,0.213173,0.065980,0.535714
130114,SOCIAL,LR,0.079524,0.073755,0.393939
130114,SOCIAL,RL,0.096204,0.073537,0.444444
178950,SOCIAL,LR,0.197510,0.056485,0.300000
178950,SOCIAL,RL,0.156242,0.051960,0.448276
996782,SOCIAL,LR,0.113975,0.059694,0.281250
996782,SOCIAL,RL,0.173453,0.057126,0.312500
119732,SOCIAL,LR,0.236144,0.070052,0.351351
119732,SOCIAL,RL,0.197726,0.094626,0.250000
109325,SOCIAL,LR,0.488098,0.125228,0.342105
109325,SOCIAL,RL,0.308147,0.102936,0.512821
139637,SOCIAL,LR,0.424486,0.061329,0.368421
139637,SOCIAL,RL,0.125967,0.054382,0.354839
178243,SOCIAL,LR,0.341072,0.110206,0.420000
178243,SOCIAL,RL,0.177884,0.093312,0.322581
176845,SOCIAL,LR,0.295239,0.087216,0.454545
176845,SOCIAL,RL,0.519978,0.084498,0.400000
111413,SOCIAL,LR,0.229576,0.082832,0.400000
111413,SOCIAL,RL,0.670432,0.090077,0.410256
567961,SOCIAL,LR,0.254297,0.061213,0.500000
567961,SOCIAL,RL,0.203841,0.066762,0.555556
156233,SOCIAL,LR,2.363150,0.649081,0.363636
156233,SOCIAL,RL,1.005870,0.098589,0.342857
178142,SOCIAL,LR,0.113926,0.064786,0.451613
178142,SOCIAL,RL,0.116044,0.054299,0.407407
308129,SOCIAL,LR,0.609492,0.110173,0.343284
308129,SOCIAL,RL,0.743322,0.121882,0.250000
529953,SOCIAL,LR,0.210731,0.061415,0.371429
529953,SOCIAL,RL,0.143621,0.077721,0.437500
993675,SOCIAL,LR,0.197122,0.105865,0.461538
993675,SOCIAL,RL,0.461613,0.091570,0.468750
108323,SOCIAL,LR,0.192466,0.053013,0.470588
108323,SOCIAL,RL,0.382967,0.062611,0.644444
922854,SOCIAL,LR,0.158779,0.165611,0.375000
922854,SOCIAL,RL,0.133419,0.147068,0.423077
594156,SOCIAL,LR,0.424782,0.082165,0.428571
594156,SOCIAL,RL,0.284829,0.071807,0.290323
657659,SOCIAL,LR,0.471322,0.087235,0.454545
657659,SOCIAL,RL,0.511598,0.066603,0.500000
917558,SOCIAL,LR,0.352159,0.105862,0.590909
917558,SOCIAL,RL,0.249735,0.084015,0.535714
113316,SOCIAL,LR,0.278587,0.097821,0.342857
113316,SOCIAL,RL,0.173703,0.136279,0.451613
111716,SOCIAL,LR,1.022760,0.083677,0.538462
111716,SOCIAL,RL,0.518310,0.082709,0.551724
193845,SOCIAL,LR,1.122730,0.081170,0.413043
193845,SOCIAL,RL,0.536535,0.073803,0.275000
