subj,abs_mean,rel_mean,pct_removed
445543,0.344782,0.084596,0.406897
680250,0.280333,0.172441,0.642857
867468,0.283709,0.081423,0.373072
107422,0.156807,0.064785,0.352174
101915,0.350784,0.067754,0.685185
930449,0.532600,0.051285,0.532609
529549,0.164990,0.093762,0.414530
108222,0.283535,0.064784,0.482143
156536,0.300662,0.050313,0.330966
130922,0.328083,0.072511,0.465278
687163,0.366069,0.089742,0.456429
103818,0.210992,0.091413,0.560000
385046,0.287381,0.053249,0.472143
125222,0.195095,0.070424,0.577586
495255,0.327708,0.089694,0.442593
158136,0.245449,0.088489,0.456281
196952,0.171235,0.058450,0.550833
213522,0.266834,0.063124,0.590062
382242,0.349182,0.194356,0.581905
187850,0.336562,0.079859,0.441379
773257,0.213408,0.085936,0.600796
959574,0.529847,0.045304,0.387500
110613,0.249316,0.094899,0.517778
177140,0.199116,0.077890,0.618590
128127,0.560414,0.055520,0.543255
111312,0.353523,0.078915,0.614815
815247,0.566043,0.075699,0.612963
192136,0.234054,0.043464,0.696970
952863,0.409123,0.087228,0.521250
767464,0.275631,0.076157,0.619565
231928,0.325672,0.091711,0.543939
192540,0.457916,0.058431,0.357391
121416,0.362236,0.066598,0.532609
130114,0.131709,0.070316,0.562500
178950,0.161537,0.081384,0.619048
996782,0.517866,0.076723,0.369655
119732,0.304546,0.060599,0.433815
109325,0.250603,0.126171,0.480588
139637,0.245924,0.081939,0.570833
178243,0.311215,0.124036,0.530000
176845,0.325573,0.092533,0.397391
111413,0.427335,0.072936,0.465517
567961,0.239870,0.053758,0.582251
156233,3.989055,0.316476,0.508401
178142,0.248712,0.061961,0.557312
308129,0.251827,0.106497,0.309295
529953,0.183663,0.070914,0.621429
993675,0.268011,0.080272,0.500000
108323,0.263707,0.049128,0.600962
922854,0.566823,0.123901,0.500776
594156,0.332759,0.078127,0.547721
657659,0.311466,0.045250,0.659420
917558,0.138199,0.107954,0.679348
113316,0.226572,0.116177,0.489167
111716,2.043455,0.081260,0.678571
193845,0.612274,0.061353,0.406593
555348,0.355989,0.130617,0.609890
180230,0.140011,0.070449,0.409722
634748,0.231329,0.056840,0.611364
194746,0.539328,0.074012,0.632727
355239,0.408596,0.137145,0.363095
196144,0.128180,0.103960,0.604348
188145,0.187268,0.110918,0.729532
141119,0.224383,0.085845,0.490028
885975,0.453342,0.066415,0.550725
213017,0.504730,0.076953,0.584848
131924,0.183603,0.143542,0.413818
198350,0.267930,0.069973,0.400794
969476,0.372196,0.071531,0.388736
419239,0.340495,0.129577,0.592105
151627,0.308694,0.066807,0.594203
102311,0.510128,0.060748,0.578818
872764,0.631194,0.108261,0.523148
118124,0.215553,0.101459,0.208696
127832,0.249119,0.090593,0.565217
715647,0.145083,0.044856,0.585227
146129,0.273083,0.074997,0.494553
214019,0.147382,0.088947,0.503472
123521,0.268880,0.100343,0.299007
857263,0.147889,0.077770,0.437169
163432,0.188882,0.067468,0.459130
128935,0.978758,0.088083,0.677143
172534,0.633125,0.058333,0.581731
827052,0.503220,0.057314,0.347480
180735,0.296509,0.062031,0.613636
991267,0.178991,0.071231,0.366460
167036,0.607365,0.059418,0.453704
164030,0.125830,0.052658,0.394286
106824,0.333635,0.048868,0.449211
513130,0.599947,0.076154,0.622024
165840,0.353031,0.068736,0.527778
169040,0.679061,0.139923,0.433333
973770,0.217577,0.091658,0.629630
519950,0.113766,0.084617,0.503704
120414,0.408522,0.057855,0.546296
154330,0.331476,0.123805,0.460806
899885,0.372164,0.052357,0.535714
275645,0.784145,0.096112,0.581104
112920,0.161808,0.087157,0.403986
707749,0.394466,0.128447,0.759358
656657,0.284737,0.103255,0.506098
150928,0.489315,0.084348,0.610606
771354,0.168911,0.076010,0.479259
191942,0.235991,0.063477,0.366667
395251,0.133122,0.078206,0.472884
192843,0.358668,0.062586,0.476190
133928,1.121385,0.062028,0.456439
878877,0.176390,0.083644,0.491379
105115,0.152691,0.057989,0.420000
105620,0.344731,0.057587,0.400725
107018,0.174237,0.083205,0.647727
107220,0.634278,0.173119,0.406769
115219,0.374428,0.112289,0.625000
117930,0.170052,0.105530,0.546584
118023,0.139350,0.115827,0.586905
118225,0.159669,0.077473,0.390152
128026,0.520998,0.093106,0.417989
134829,0.906350,0.073303,0.653846
135124,0.199997,0.042609,0.539474
137229,0.182088,0.109269,0.489177
139839,0.361862,0.062080,0.636364
143325,0.647425,0.096304,0.362319
145632,0.212796,0.070206,0.489130
148335,0.280129,0.115664,0.464286
148840,0.259162,0.068388,0.437666
149236,0.273123,0.072838,0.510000
149842,0.536261,0.071353,0.506667
152831,0.197021,0.063594,0.614815
155231,0.219927,0.066688,0.385989
157942,0.196682,0.064559,0.547009
159946,0.679227,0.087339,0.380714
160830,1.245748,0.073034,0.715152
161327,0.593888,0.131684,0.546296
167440,0.302349,0.069263,0.587963
170934,0.178491,0.096263,0.438811
180129,1.380668,0.155989,0.622383
185341,0.342013,0.089754,0.500000
185442,0.170760,0.058617,0.576087
186848,0.308723,0.141375,0.604167
197550,0.204336,0.101013,0.482372
198855,0.193952,0.061631,0.688636
200513,0.365144,0.059777,0.466518
200917,0.187306,0.082333,0.462382
201111,0.266578,0.056629,0.529454
202820,0.439018,0.085558,0.388095
204016,0.657119,0.098245,0.398883
211316,0.132566,0.080840,0.605263
238033,0.784064,0.050654,0.607918
239136,0.327068,0.112909,0.416667
255740,0.244740,0.062793,0.430000
257946,0.394889,0.094852,0.432855
274542,0.220362,0.065144,0.482759
290136,0.203703,0.060280,0.428333
310621,0.328896,0.085864,0.445652
341834,0.130216,0.076497,0.466667
348545,0.199685,0.070464,0.677019
361941,0.413169,0.074932,0.440018
371843,0.282942,0.093777,0.300551
377451,0.325140,0.063807,0.450893
386250,0.096324,0.062787,0.382143
424939,0.296934,0.065259,0.550595
449753,0.326086,0.069524,0.542609
481951,0.397518,0.059303,0.538462
510225,0.348865,0.066091,0.522436
523032,0.399910,0.059949,0.591667
524135,0.156081,0.063996,0.482372
617748,0.329472,0.131826,0.527778
627852,0.432077,0.055672,0.458333
680957,0.355840,0.128368,0.392082
685058,0.276679,0.072032,0.550000
692964,1.112895,0.087859,0.619960
694362,0.430183,0.063937,0.541667
720337,0.398552,0.052280,0.448333
723141,0.202748,0.069892,0.575000
729557,0.135292,0.070662,0.491107
837964,0.446891,0.155747,0.673333
845458,0.630667,0.076606,0.265625
884064,0.321790,0.077292,0.565217
886674,0.089434,0.048559,0.314039
901038,0.911407,0.203070,0.610723
947668,1.111533,0.146280,0.361905
971160,0.265044,0.076888,0.342262
978578,0.186177,0.078129,0.422925
100206,0.130417,0.045723,0.489130
100307,0.116791,0.060104,0.434211
101107,0.159351,0.060582,0.574074
106521,0.821674,0.073096,0.500000
107321,0.566441,0.072688,0.526923
