subj,abs_mean,rel_mean,pct_removed
445543,0.532151,0.111210,0.524359
680250,0.251725,0.132273,0.444444
867468,0.510002,0.141798,0.313312
107422,0.162719,0.059799,0.322581
101915,0.479065,0.080708,0.545455
930449,0.256216,0.063557,0.282878
529549,0.170690,0.080690,0.317659
108222,0.468584,0.080995,0.455556
156536,0.279865,0.054535,0.247024
130922,0.897783,0.066538,0.361530
687163,0.680560,0.082027,0.429762
103818,0.243060,0.103738,0.325119
385046,0.152921,0.038814,0.358876
125222,0.451975,0.106632,0.476780
495255,0.346793,0.103270,0.317791
158136,0.274694,0.087914,0.532292
196952,0.262438,0.057112,0.393519
213522,0.152066,0.051289,0.408550
382242,0.531998,0.161548,0.237946
187850,0.344652,0.100042,0.346728
773257,0.179302,0.097130,0.373671
959574,0.268478,0.053044,0.319305
110613,0.355796,0.114945,0.487787
177140,0.406373,0.073017,0.507102
128127,0.115686,0.048020,0.433761
111312,0.518714,0.071079,0.509454
815247,0.696640,0.080796,0.456349
192136,0.246679,0.062114,0.557018
952863,0.313246,0.066766,0.418449
767464,0.172370,0.062564,0.496241
231928,0.739056,0.080396,0.442308
192540,0.509304,0.059811,0.408333
121416,0.263343,0.077161,0.542051
130114,0.087864,0.073646,0.419192
178950,0.176876,0.054223,0.374138
996782,0.143714,0.058410,0.296875
119732,0.216935,0.082339,0.300676
109325,0.398122,0.114082,0.427463
139637,0.275226,0.057856,0.361630
178243,0.259478,0.101759,0.371290
176845,0.407609,0.085857,0.427273
111413,0.450004,0.086455,0.405128
567961,0.229069,0.063987,0.527778
156233,1.684510,0.373835,0.353247
178142,0.114985,0.059542,0.429510
308129,0.676407,0.116028,0.296642
529953,0.177176,0.069568,0.404464
993675,0.329367,0.098717,0.465144
108323,0.287716,0.057812,0.557516
922854,0.146099,0.156340,0.399038
594156,0.354805,0.076986,0.359447
657659,0.491460,0.076919,0.477273
917558,0.300947,0.094939,0.563312
113316,0.226145,0.117050,0.397235
111716,0.770535,0.083193,0.545093
193845,0.829632,0.077486,0.344022
555348,0.490464,0.154059,0.534524
180230,0.357569,0.074402,0.474713
634748,0.315697,0.043775,0.392308
194746,0.563993,0.119514,0.651099
355239,0.274836,0.162992,0.474754
196144,0.167039,0.094951,0.556319
188145,0.253653,0.100097,0.530797
141119,0.295610,0.091391,0.464286
885975,0.330295,0.068202,0.473522
213017,0.373930,0.074001,0.429975
131924,0.411119,0.118095,0.296591
198350,0.999366,0.100586,0.462215
969476,0.276014,0.078390,0.415462
419239,0.328869,0.124355,0.535714
151627,0.209030,0.062346,0.407500
102311,0.657729,0.070459,0.382401
872764,0.286392,0.097590,0.384521
118124,0.169848,0.111813,0.326667
127832,0.420961,0.071500,0.443247
715647,0.223493,0.046757,0.433333
146129,0.206480,0.065549,0.416667
214019,0.403784,0.098829,0.560870
123521,0.146887,0.078928,0.361828
857263,0.326346,0.078027,0.400000
163432,0.915932,0.124578,0.446429
128935,0.308433,0.101861,0.614058
172534,0.384376,0.057164,0.456410
827052,0.318841,0.060880,0.304147
180735,0.189903,0.081158,0.519231
991267,0.179063,0.087983,0.434343
167036,0.743646,0.056625,0.377381
164030,0.244522,0.043177,0.366071
106824,0.133526,0.060277,0.325203
513130,0.176840,0.084052,0.455556
165840,0.371694,0.063999,0.436678
169040,0.865298,0.179733,0.433723
973770,0.243511,0.100613,0.635135
519950,0.126257,0.095888,0.445930
120414,0.203471,0.053772,0.500000
154330,0.504831,0.166575,0.416188
899885,0.238126,0.060047,0.493369
275645,0.321021,0.091399,0.470833
112920,0.206834,0.066671,0.272826
707749,0.583793,0.132333,0.646347
656657,0.230125,0.090041,0.477475
150928,0.240486,0.060612,0.390565
771354,0.160984,0.070611,0.460215
191942,0.362349,0.052294,0.354167
395251,0.116813,0.090201,0.371875
192843,0.545404,0.063025,0.368371
133928,0.202495,0.056124,0.372308
878877,0.230525,0.055288,0.456897
105115,0.218170,0.059957,0.399078
105620,0.295339,0.064774,0.425691
107018,0.111088,0.105582,0.498534
107220,0.325300,0.184161,0.322857
115219,1.085127,0.091599,0.428136
117930,0.209857,0.096204,0.519231
118023,0.167706,0.102721,0.540323
118225,0.183413,0.068423,0.436508
128026,1.063118,0.093245,0.396847
134829,0.362640,0.074129,0.531319
135124,0.178071,0.055765,0.440476
137229,0.191406,0.130958,0.480769
139839,0.236904,0.057406,0.500000
143325,0.886404,0.104972,0.435824
145632,0.317945,0.070906,0.491935
148335,0.364553,0.133758,0.424292
148840,0.271351,0.065801,0.389216
149236,0.117240,0.090019,0.426344
149842,0.193174,0.068373,0.480357
152831,0.164208,0.061752,0.481481
155231,0.557802,0.053594,0.449495
157942,0.117267,0.073402,0.371473
159946,0.407463,0.081793,0.562862
160830,0.891828,0.110390,0.628623
161327,0.822340,0.217606,0.671891
167440,0.336716,0.071469,0.402083
170934,0.536982,0.066604,0.396011
180129,0.783605,0.129547,0.383946
185341,0.308431,0.078905,0.486532
185442,0.120708,0.063723,0.401282
186848,0.164279,0.153323,0.564583
197550,0.144037,0.137748,0.459064
198855,1.057557,0.051023,0.497649
200513,0.268385,0.048638,0.390941
200917,0.735310,0.096141,0.523374
201111,0.116895,0.052459,0.464158
202820,0.732260,0.129096,0.451057
204016,0.324601,0.107852,0.324761
211316,0.409230,0.093200,0.600791
238033,0.567045,0.060773,0.470588
239136,0.180166,0.112757,0.341346
255740,0.268891,0.068855,0.425541
257946,0.450493,0.102650,0.472222
274542,0.147647,0.068209,0.411877
290136,0.238160,0.097825,0.452564
310621,0.295631,0.070581,0.430804
341834,0.268574,0.070428,0.490909
348545,0.227911,0.074289,0.410606
361941,0.483149,0.058962,0.341489
371843,0.507861,0.082818,0.376891
377451,0.682163,0.072572,0.403708
386250,0.513289,0.069794,0.412404
424939,0.260332,0.065850,0.336248
449753,0.484368,0.068406,0.387080
481951,0.419883,0.053759,0.410243
510225,0.259632,0.080369,0.445639
523032,0.273116,0.067532,0.513091
524135,0.133211,0.059292,0.433333
617748,0.568900,0.125540,0.459677
627852,0.342623,0.077487,0.460129
680957,0.438315,0.065986,0.490000
685058,0.208976,0.072754,0.377155
692964,0.694718,0.074881,0.363757
694362,0.362055,0.095107,0.572581
720337,0.439843,0.053121,0.464103
723141,0.332738,0.063000,0.431538
729557,0.100541,0.053252,0.416446
837964,0.323120,0.149446,0.498955
845458,0.217476,0.097972,0.333640
884064,0.215179,0.077899,0.396011
886674,0.158010,0.062273,0.440972
901038,0.831657,0.137191,0.524845
947668,0.334673,0.184148,0.524194
971160,0.361584,0.057346,0.419580
978578,0.220606,0.087166,0.507937
100206,0.262308,0.054334,0.456597
100307,0.332187,0.061692,0.380952
101107,0.409921,0.081705,0.619262
106521,0.253192,0.061344,0.306250
107321,0.094587,0.049077,0.229167
110411,0.210355,0.048460,0.374419
114318,0.508739,0.057143,0.325494
115320,0.202599,0.129223,0.550287
116524,2.048608,0.191981,0.531343
117021,0.382680,0.089158,0.412500
119025,0.290238,0.075486,0.441176
122822,0.169640,0.070159,0.364418
123824,0.682895,0.124298,0.524639
126325,0.446890,0.086944,0.535121
139435,0.394014,0.132758,0.591595
140925,0.675970,0.200717,0.536523
143224,0.390190,0.095691,0.573436
145834,0.234867,0.065603,0.438419
146937,0.282025,0.069843,0.483092
147636,0.167563,0.079314,0.396772
147737,0.252246,0.095108,0.381552
150726,0.184897,0.090664,0.464158
151526,0.514255,0.136666,0.400000
154936,0.653031,0.089741,0.532495
156435,0.302113,0.063763,0.315315
156637,0.474244,0.168930,0.297759
157336,0.287309,0.055665,0.506539
159138,0.189069,0.079906,0.382500
160729,0.454588,0.067671,0.380556
162935,0.230791,0.128500,0.296703
163836,0.533540,0.147456,0.705385
165638,0.221672,0.101323,0.494898
166640,1.250665,0.135541,0.394022
168947,0.205454,0.053761,0.499259
169343,0.322821,0.082848,0.519412
169444,0.318483,0.057695,0.464105
171532,0.953933,0.122179,0.457298
172938,0.563175,0.110525,0.648810
175035,0.307400,0.124103,0.507389
175439,0.360950,0.172286,0.553640
176744,0.242811,0.060048,0.418129
178748,0.501875,0.094450,0.552817
180432,0.377507,0.058719,0.242647
186444,1.059990,0.100028,0.437302
191235,0.394222,0.107612,0.534250
192641,0.215978,0.067470,0.393077
193239,0.496176,0.059694,0.554917
198047,0.426617,0.078028,0.412377
199150,0.417106,0.168254,0.401955
203418,0.234518,0.058753,0.328877
207123,0.230953,0.149536,0.349359
209329,0.158183,0.067727,0.545093
209834,0.649730,0.165094,0.436393
211619,0.359075,0.075254,0.517857
211720,0.293661,0.090781,0.273611
217429,0.183670,0.051966,0.467033
228434,0.146622,0.088478,0.364418
250427,0.285040,0.137000,0.466667
255639,0.410574,0.069370,0.479167
280739,0.567967,0.095223,0.515886
280941,0.122732,0.096106,0.530093
283543,0.518417,0.097501,0.270764
297655,0.463354,0.053911,0.440705
298051,0.316520,0.133827,0.485294
303624,0.648439,0.091256,0.466667
322224,0.219185,0.051567,0.580087
330324,0.128996,0.091387,0.403922
346137,0.654048,0.115187,0.489899
351938,0.148625,0.040571,0.358260
378756,0.320360,0.133780,0.496429
389357,0.248106,0.110154,0.519231
395958,0.402904,0.084354,0.495455
401422,0.316526,0.078864,0.467857
465852,0.382340,0.121797,0.441176
481042,0.242858,0.060004,0.440705
492754,0.185364,0.088556,0.454545
552544,0.153083,0.058192,0.362069
553344,0.270906,0.067426,0.339184
562345,0.468851,0.184927,0.315887
579665,0.493550,0.069084,0.568100
580044,0.210788,0.098513,0.423077
580347,0.169941,0.077336,0.546526
585256,0.379576,0.097850,0.504464
586460,0.258655,0.050567,0.455364
599469,0.523042,0.115829,0.460526
620434,0.459518,0.063137,0.490909
656253,0.138296,0.091938,0.409323
665254,0.522509,0.078638,0.439394
671855,0.311570,0.107232,0.551339
688569,0.291936,0.076961,0.460606
695768,0.368254,0.142939,0.506773
727553,0.613733,0.056073,0.402852
729254,0.143413,0.060353,0.380837
731140,0.181711,0.092093,0.533453
749058,0.075298,0.042971,0.326979
749361,0.332825,0.109021,0.336248
751348,0.189441,0.055876,0.376263
769064,0.619807,0.074139,0.546499
825048,0.228986,0.082082,0.520000
833148,0.069308,0.038884,0.464286
869472,1.158435,0.130601,0.394444
882161,0.137848,0.118849,0.499361
887373,0.273241,0.049506,0.379547
901442,0.323663,0.058302,0.431034
910241,0.346268,0.098406,0.401882
926862,0.728117,0.060368,0.354167
942658,0.199816,0.065637,0.353220
972566,0.270388,0.146862,0.529870
