DEPMENT,FAMMENT,HCMENT,DEPRAND,FAMRAND,HCRAND
0.339182325,0.008486758,0.060235489,0.109215447,-0.074962822,-0.353341342
-0.015485304,-0.052394821,0.083749183,-0.063775352,0.12352434,0.13820266
0.198525518,0.019437121,0.196329661,-0.09738132,0.170687506,0.029198434
-0.036533817,0.217296232,0.234880575,-0.206769148,0.099155996,0.297536929
0.138701868,0.033951537,0.011738715,-0.301741265,0.062122269,0.288304384
0.169859113,-0.193962573,0.111863443,-0.027666284,-0.077580425,0.135409698
-0.020612886,-0.348219407,-0.082769619,0.062949153,0.05460356,-0.248747502
0.025111545,0.243905933,-0.006349271,-0.016024942,0.585655726,-0.291697074
0.069610677,0.277733994,0.13736098,-0.321550838,-0.007798947,0.318525701
0.192632673,0.035935105,-0.171745642,0.280125365,0.01207332,-0.45384953
0.045401023,-0.218942891,-0.144377694,0.143831591,0.177154411,-0.065777842
-0.026839133,0.17261148,-0.162843679,0.026032632,-0.041604502,0.104200331
-0.513817259,-0.085238488,-0.047772854,-0.035785962,-0.004083663,0.340825917
0.039652207,-0.127961212,0.091738601,-0.341014219,-0.074635569,0.107518511
0.052683716,0.289442032,0.075123017,-0.012157985,0.115394134,0.053458351
0.049819848,-0.197964333,0.009487503,-0.046826612,-0.588020642,-0.00672653
0.20860658,-0.109715268,-0.107518485,0.0175904,0.102993251,0.090225221
0.164917083,0.104530987,-0.131930653,0.092546876,-0.198530429,0.174405718
0.159580072,0.013151691,0.328736311,-0.394648476,0.211357591,-0.172585073
0.185788534,0.242139911,0.061665048,0.134626134,0.099079503,0.019753081
-0.074988638,-0.095942659,-0.092415964,-0.243371312,-0.24859066,-0.02705063
-0.075009196,0.042114197,-0.086463663,0.069961306,-0.314198542,-0.017021415
-0.159398114,0.389297378,0.141785517,0.01152394,0.067481056,-0.217755802
-0.058311109,-0.017516653,-0.111615869,-0.228041631,0.076277708,-0.297163748
0.245157501,0.196179438,-0.364430335,0.108312687,0.065244513,-0.020349149
-0.541407293,-0.183584946,-0.281345795,-0.627033266,-0.032970761,-0.374022657
0.175054618,-0.04708149,0.059947341,0.062843829,0.139417861,0.008173272
-0.224227662,0.242226047,-0.229473689,0.036960571,-0.113969961,-0.090455575
0.091586211,-0.013165293,-0.486506725,0.193620066,-0.066507029,-0.087261495
0.029422935,0.058934567,0.0106109,-0.288749706,0.203271628,0.067000065
0.121498467,-0.334219652,-0.132891176,0.219680876,-0.088532121,-0.007040584
-0.090445699,0.092722921,0.112727776,0.048399721,-0.149041281,-0.141393108
0.013955727,0.066044784,-0.007120377,-0.18111052,0.065267152,-0.014212456
-0.020644313,0.288488112,-0.017336604,-0.290606447,0.011556158,0.283550806
0.004638947,0.260860863,-0.276283132,-0.152120027,0.125721274,-0.075606331
-0.238456567,-0.046757918,-0.24860841,0.01351764,-0.146939397,-0.051762293
0.340167012,-0.120448553,-0.391237445,0.194442226,-0.158550198,-0.399031317
0.031788135,0.183896193,-0.198395867,0.066811425,-0.11134226,-0.182101013
0.031184742,0.034639899,-0.215279583,-0.111958018,0.163468929,-0.04879246
-0.090549332,-0.56590698,0.026405257,-0.225286919,-0.596873812,0.018439508
-0.033160948,-0.000203429,-0.227501974,-0.161824429,-0.07472063,-0.050344999
0.013683442,-0.062994034,-0.439631889,-0.04965608,-0.220785611,-0.280177872
0.120612761,-0.064655021,-0.137891331,0.002081675,-0.09806515,-0.236096146
-0.073191834,0.169999821,0.141305397,0.060414413,-0.106957492,0.004318343
-0.256127077,-0.096934399,-0.16332702,0.023802679,-0.067951942,-0.326660582
-0.005587623,-0.019698703,-0.015584251,0.08829603,0.028375343,0.318540973
-0.05024369,0.250585891,-0.375106006,0.261778674,-0.281922004,-0.436410107
-0.202983889,0.16873895,-0.018215381,-0.118292423,0.379216678,-0.060270085
-0.066103966,0.093931014,-0.086308812,0.126499057,-0.281151299,-0.132202501
-0.040520692,-0.2601879,-0.100211847,0.105932271,-0.18003509,-0.350319002
0.3548894,0.052474104,-0.156674709,-0.418491782,0.109509034,0.09096985
-0.043702349,0.230556673,0.202422304,-0.138433899,0.447999975,0.272162441
0.164098564,0.17595347,-0.25012857,-0.15444407,-0.082973081,0.209943546
-0.108924452,-0.045020643,-0.146270601,-0.317929582,-0.03304352,0.084541486
0.245410656,0.214170231,0.199779851,0.046293958,-0.15687583,0.396762264
0.179436268,-0.012353348,0.034272087,0.007358583,0.096717193,0.101902595
-0.043720698,0.402149038,-0.10756633,-0.129330064,0.276855447,0.066862092
0.241579813,0.110299535,0.11753865,0.238020075,0.266935266,0.129955306
0.089666262,-0.009036039,-0.410347559,-0.294440154,0.084675935,-0.226163635
0.323350981,0.022349521,-0.101906848,0.033467221,0.069255987,-0.183192896
-0.335424631,0.227648931,-0.040616366,0.01564995,0.279739731,0.185763306
0.003923513,0.599089395,0.170070526,0.044691984,0.597675242,-0.131293112
-0.261364615,0.212635794,-0.336835564,-0.066432516,-0.107920623,-0.253721575
0.104478384,-0.005039305,-0.074734107,0.14478669,-0.217843321,-0.00683111
-0.104277692,0.063156287,-0.20846142,-0.191941934,0.006925177,0.040234289
-0.062708369,0.319600765,0.060426609,0.065197402,0.344868183,0.069036685
-0.010934891,-0.069104389,0.248345922,-0.11810797,0.058888811,-0.221725719
0.130749682,-0.045367597,0.061381406,0.077424149,-0.128653642,0.010439965
-0.035904413,0.070693261,-0.080478747,-0.209722661,0.041745763,0.050514023
-0.014196554,0.074407566,-0.286719537,0.047329801,0.139202693,-0.199167275
0.020047913,-0.013092513,0.090432091,0.127470091,0.081589499,0.038779856
,-0.031063176,0.015857749,,-0.237514827,-0.247210516
