hc_rew_vs,fam_rew_vs,dep_rew_vs,hc_pun_vs,fam_pun_vs,dep_pun_vs
-6.176460729,11.19909144,9.707133851,2.276894845,1.025933846,1.062847893
-4.020803249,-5.342815419,-8.841114563,-21.24538634,-14.18867895,-38.23925921
5.614238124,11.42537016,4.689601905,-5.053194759,8.852016865,-4.653252994
-5.903246027,3.345831744,30.8705311,-2.649512739,10.67259309,34.79530132
-5.529676518,6.918260187,-11.55616476,-16.98758908,-17.06328278,-28.89155925
-3.124327239,8.952568975,2.849429967,-11.54813564,11.61568728,-11.38011216
-7.815249552,-8.534358089,-3.215273718,-10.55455662,-10.78862392,-9.677733128
-0.621021185,-29.51089058,9.263362766,-4.81703807,-30.73174524,-4.31122689
2.459131503,21.03451875,12.49618445,-8.438451921,5.869635833,-16.06400584
0.653852451,19.66393921,-2.546391438,5.82964017,11.42002016,12.17022869
-2.351170426,4.86371282,-2.787534267,-2.56201817,-4.202883645,4.143049179
-8.91339119,3.757941934,12.9116908,-4.03693286,2.72984143,-2.428658554
-5.692269221,23.22905946,-5.938590492,4.162789894,9.184432962,-0.906475495
12.5816565,1.914085582,11.17776299,-12.51353541,-18.26400356,6.681366998
-17.19252095,-7.165250754,-24.57477955,-8.639327555,-18.31149872,-23.62245463
-23.82984585,-5.254710549,9.171045657,-20.47814481,-39.19969707,-14.31859617
-1.409618367,4.252909652,-17.44153966,-8.103227532,-16.28098552,-25.14725223
7.984459117,-22.10423117,-15.70348492,9.555189903,-43.90517595,-32.56073524
2.007810044,-7.310147241,-6.827035744,-5.920612865,-13.79258518,-19.68932274
32.65577602,-4.212012015,2.778445106,10.45866362,-1.976614152,-4.298937752
-11.36074178,-6.126599415,-8.074180249,-24.81326182,-11.07034126,-1.78223421
-23.34814399,-1.959872126,8.925739492,-4.543743321,-9.811133139,-10.79802509
-2.178462423,0.947015622,-1.151134308,-9.10234124,-18.77876444,23.41776639
4.143148662,23.93070019,-2.615532051,-13.9513374,12.67269382,-0.690251301
5.324895114,7.168823381,4.329957218,-8.241771714,0.221098575,-14.51926432
6.189975143,-2.680883779,2.020177304,6.64609893,-7.262879173,-9.725104626
-16.71734112,6.340244431,3.042998095,-8.013531293,0.115231415,-9.810770378
0.975700988,-11.86296276,-1.868911105,-20.47309326,-14.45231808,-20.47580539
-6.589927709,-1.006648475,-30.19532458,0.256072755,-11.87022212,-20.06955634
8.045118233,21.60646063,-4.832791743,2.137844832,9.014461835,-6.020749467
-1.790144042,2.581407617,-2.118453614,9.079631808,-25.26773758,-15.34144138
-3.59762543,9.763388921,-16.20675067,-14.83054483,-2.309843335,-7.363379485
15.42960772,15.01289618,13.24878754,17.31740673,-10.48401551,13.89627738
2.693237622,17.5712043,13.23681949,-2.656077532,13.62086231,-2.596975061
-17.9334771,-0.923193505,4.001737385,-11.55380188,6.038600378,-14.75477617
-2.461390367,-1.227905357,-13.22465682,3.134856241,2.398283733,-8.40710388
-16.16973101,-9.774352239,16.87224218,11.0433469,-17.80970589,-17.93885971
-3.80417588,-3.694473006,3.066137368,-12.56242492,-16.59052795,2.748571533
-16.55545092,-10.27557729,2.676168937,-7.548611875,-14.3738488,-9.501279333
8.213127509,7.776667011,-5.226500937,-13.01422074,-3.429409963,-18.25641056
-4.770659048,30.89206183,-7.804425627,1.500579052,1.742075833,4.401920126
-2.75007365,-8.096499847,-19.96397109,-12.15148823,-29.70494538,-43.32830914
-14.18953336,28.23880831,-23.69429447,-11.98353435,8.89491726,-14.59894003
-1.468157938,-16.27533396,-3.358978674,-10.1374339,-26.64539746,-7.650380414
12.95736412,-12.40938139,-1.021532929,-19.67643983,14.29833197,-2.461488019
