DEPMENT,FAMMENT,HCMENT,DEPRAND,FAMRAND,HCRAND
0.000982377,0.0523819184,0.0085316698,-0.031093174,0.0285589764,0.0472715296
-0.0286690691,-0.0614030945,0.0452980865,-0.0083141362,-0.0666971914,-0.0807778408
0.0142674616,0.0830658951,0.0153570788,0.0062115735,0.0168358471,-0.0999476466
-0.0159348984,0.0532206012,-0.0645874651,0.0208760004,0.0034112025,-0.0152973337
-0.073831058,0.0367142611,-0.008562425,-0.1372533837,-0.0288044012,-0.0330017408
0.0740513657,0.0440931431,0.0842001871,0.054657996,-0.0345506005,0.0005541993
0.0164987189,-0.0030844364,-0.0026435406,-0.0188435289,0.0470252854,-0.0480185247
0.0699788493,0.090394362,-0.1081590523,0.036332944,0.0553169504,-0.0940486107
-0.0722509055,-0.1594951528,0.0374847961,-0.1547608607,-0.0621634998,-0.0730905277
0.0323089803,0.0006185067,-0.0483400655,-0.0350578221,-0.020837677,-0.0682370485
-0.0149556399,0.0676628589,-0.0115181823,-0.0366534078,0.0615771453,-0.0024695639
0.0172785018,0.0907896475,-0.0751806968,0.0496675913,0.0545822284,-0.0231784652
0.0762804295,-0.0675332473,-0.1159356638,0.0495280039,-0.0454051067,-0.0305644666
0.0193355624,0.0699752724,0.0248897095,0.0040291134,-0.0091215636,-0.0351633653
-0.0138350155,0.0277245973,-0.0021755193,-0.0345973439,0.0277603423,-0.0076325337
-0.0033299844,-0.0416595829,0.0183017256,0.0103814355,-0.1121494877,0.0053651216
-0.0032248234,0.0073967868,-0.0086320818,0.0337677631,0.0154418196,-0.0238463024
0.054012314,0.0705490825,-0.0063007199,0.005838837,0.0168391078,-0.0204086211
0.0389311673,0.0519384736,0.0077870848,0.0687825311,-0.0263640231,0.0585448541
0.0100177594,0.0160459088,0.0563267912,0.0712142716,0.1131326872,-0.0960394259
-0.0166778113,0.0727432666,0.0300756167,0.0087639177,0.0479980349,-0.0539814362
-0.009949743,0.0255789619,0.0204836727,0.0066283614,0.0263482964,0.0156990624
-0.0694900556,0.0568758345,-0.028505409,-0.0477715379,-0.0141807768,-0.018228036
0.0056804274,-0.0024894807,-0.072457507,0.0975749895,0.0315486536,-0.0853226934
0.0476630789,0.0179791628,-0.1613263541,0.0211885094,-0.0658124841,-0.0369998344
0.0186643248,0.0470661214,-0.0718276758,0.0533499713,-0.0412268893,-0.1403976474
-0.0524514639,0.0129935926,0.1060844802,-0.0170406455,0.0020410455,0.0402653495
-0.0390980127,-0.0118320149,-0.0958857552,-0.0440832289,-0.0046230184,-0.0189605299
0.0156112987,0.014644058,0.0198721337,-0.083896837,-0.0300250065,-0.0254684439
-0.0446363161,-0.0313648633,0.0466911481,-0.0199721709,0.0680620568,0.0066545979
