DEPMENT,FAMMENT,HCMENT,DEPRAND,FAMRAND,HCRAND
-0.0027137276,-0.0990483942,0.1291713571,-0.0027137276,0.0847157433,0.0073964687
-0.0651101851,0.0349838064,0.0990383228,-0.0651101851,0.0466851044,-0.1722799793
-0.017247662,0.0439049689,-0.0321075322,-0.017247662,-0.0161953169,-0.1008328736
0.2447206924,-0.119358069,-0.0492606652,0.2447206924,0.0435985791,-0.0080453614
-0.1225021183,0.026263368,-0.0869161685,-0.1225021183,0.0360752556,-0.1347614661
0.0359747218,-0.1044423886,0.0104497025,0.0359747218,-0.1343123967,-0.0623507096
-0.0122601767,0.0055921345,-0.0622636394,-0.0122601767,0.1176084859,-0.0138110065
0.0323194361,0.034559147,-0.166251794,0.0323194361,0.0977332207,0.0043581561
-0.0761692782,-0.2518456539,0.0777939946,-0.0761692782,-0.1893426095,0.1118623509
0.0714066104,-0.0383913788,-0.1986548622,0.0714066104,-0.0741523383,0.0210682177
-0.0260157812,0.0312339152,0.018994795,-0.0260157812,0.0719957026,0.069586437
0.0002228724,0.0456411879,0.010555373,0.0002228724,-0.007428201,-0.011334492
-0.0188944889,0.0176156417,-0.1625324006,-0.0188944889,-0.1028277382,-0.1182739464
-0.1143533523,0.0727333576,-0.0998720999,-0.1143533523,0.000835827,-0.1241085097
-0.0425767865,0.0829188939,-0.0537105758,-0.0425767865,0.0580213614,0.0060766562
-0.0642513099,0.0293545628,0.0750136655,-0.0642513099,-0.1105152895,0.0582948157
0.0338455915,0.0504791408,-0.0718659483,0.0338455915,0.0487597626,-0.1874261061
0.0283158617,0.0772321465,-0.0339986118,0.0283158617,-0.0312158764,-0.0189994758
0.0367008011,0.0045316455,-0.0657594673,0.0367008011,0.0175613726,-0.1436500937
-0.0259880422,0.0283342233,-0.0381579552,-0.0259880422,-0.0453651965,0.0949802363
-0.08109848,-0.0652522418,-0.0667390487,-0.08109848,-0.1897019543,-0.089897615
0.0026573782,-0.1126677768,-0.060479032,0.0026573782,-0.0099195076,-0.0193119604
-0.0497340614,0.0251029194,-0.107740175,-0.0497340614,0.030002176,0.0711539848
0.0489841713,0.0197108351,-0.1675233454,0.0489841713,0.0031480248,-0.1203998685
-0.0986190106,0.0091818003,-0.1887522012,-0.0986190106,-0.0556332366,-0.0380424986
-0.0015473567,0.1036151958,-0.1422118815,-0.0015473567,-0.0330783079,-0.0084244544
-0.0085019143,-0.0631647075,0.1515634722,-0.0085019143,-0.0841418055,0.0958765995
-0.052239262,0.0086331525,-0.0339657596,-0.052239262,0.0214064375,-0.0403861486
-0.031441718,-0.0119957777,0.0043940186,-0.031441718,-0.0041991176,0.0048221688
-0.1338120284,0.0034177596,-0.0154450841,-0.1338120284,0.0392632718,0.0081987958
-0.0778458334,0.0494147415,-0.0805782379,-0.0778458334,0.0917733575,-0.018424708
0.0810795301,-0.1035055573,-0.1785407046,0.0810795301,-0.1043501111,-0.1033245243
0.0025829431,-0.023734942,-0.0969843735,0.0025829431,-0.0532679627,0.007148923
0.0205965679,0.0189533762,0.0978955915,0.0205965679,0.0196266589,-0.0383830586
0.1512725065,-0.2064363852,0.0076695514,0.1512725065,-0.1719145214,-0.0509431823
-0.1660427267,0.0309525283,0.1106243463,-0.1660427267,-0.0216161778,-0.0011850269
0.0907077582,-0.0184709069,0.0206654884,0.0907077582,-0.0408316497,0.0448734729
-0.0159124721,0.0006593733,-0.032049651,-0.0159124721,-0.043944274,-0.0006500303
-0.1139548828,0.1002180375,-0.0405915912,-0.1139548828,0.0433718782,0.0186558198
0.0300352312,0.0274588273,0.0226218076,0.0300352312,0.0968754676,0.0400137444
0.1445849473,-0.0362181629,-0.0704757346,0.1445849473,0.0114685599,-0.1429249754
-0.0494730877,0.0483751788,0.0553525658,-0.0494730877,0.0200537697,-0.0786753145
-0.0451356452,-0.0544265074,0.0555098924,-0.0451356452,-0.0360513646,0.1109637876
-0.005409375,0.0025849205,-0.0001209411,-0.005409375,-0.0074098592,0.0787728643
0.0429619697,0.0513231257,0.0219890802,0.0429619697,-0.0458942575,0.08928447
-0.117071547,0.0349977241,-0.0119126829,-0.117071547,0.0986277236,0.0228696366
-0.0214421441,0.206724366,-0.0605378353,-0.0214421441,0.217453287,0.0290091873
0.001439367,0.0669413789,-0.0394050353,0.001439367,0.1369014822,0.0230621536
-0.0018222232,-0.0158618448,-0.1911682909,-0.0018222232,-0.3132295817,-0.2961686631
0.072009986,-0.0325435817,-0.0252808393,0.072009986,0.1300292343,-0.0960636037
0.2992033263,-0.1208562156,-0.0550247588,0.2992033263,-0.2509512226,-0.0748784549
0.0009448613,-0.0307508119,-0.0094245229,0.0009448613,0.0686921019,0.0206825592
-0.0459012923,0.0153947049,-0.2418157821,-0.0459012923,-0.1091305966,-0.2357869893
-0.0594108819,-0.039375952,-0.1332058509,-0.0594108819,0.0074027933,-0.1392648184
0.0510011847,0.0215123116,-0.1546549203,0.0510011847,-0.073754111,-0.1992570475
0.0482799025,0.0170388376,0.0791682976,0.0482799025,0.027528976,0.1660926024
-0.1146066561,-0.0713269988,-0.0044997794,-0.1146066561,-0.1766444882,-0.0138942404
-0.0230297048,-0.1116486187,-0.1467877095,-0.0230297048,-0.0246386048,-0.0373741282
-0.0874766434,-0.0088807779,0.1297770421,-0.0874766434,0.0940063462,-0.0045977081
-0.0215730542,0.0008111869,-0.0355657067,-0.0215730542,-0.0438685825,0.1325388456
-0.0607965355,0.1571021159,-0.0426210862,-0.0607965355,0.0867547167,0.0620562301
-0.0341619982,0.1045985517,-0.0178115225,-0.0341619982,-0.0210442622,0.0709666745
-0.0886385101,0.0749245845,-0.0956115959,-0.0886385101,0.0740261325,-0.0340191274
-0.0750758855,-0.0982347029,0.0659848013,-0.0750758855,-0.0858878454,0.1420249502
-0.0361053254,-0.0391684113,-0.1600977783,-0.0361053254,-0.0005504146,0.0096586515
-0.1338060817,0.0506106762,-0.0723448687,-0.1338060817,0.0550351632,0.0137540639
0.0813156796,0.0150058017,-0.1507478153,0.0813156796,0.0234051544,-0.0401821472
-0.0267114884,0.066605847,0.1257672891,-0.0267114884,0.0618426211,-0.0743844103
-0.0100142351,0.0451063513,-0.2748404016,-0.0100142351,0.0976205722,-0.0304968656
-0.1277241116,0.0104322675,-0.161064512,-0.1277241116,-0.0926189117,0.0969624283
-0.0163405029,-0.0218935027,-0.0491979775,-0.0163405029,-0.0632433802,-0.0673076046
,-0.0214900437,-0.067672767,,-0.0219343684,-0.1999985964
,0.026813397,-0.1052831909,,-0.0206087739,0.0410171964
,0.0099363478,0.0082069447,,0.1380656711,-0.0599625944
,-0.0728619265,-0.0090024958,,0.1044492571,0.0275600027
,-0.0513575094,-0.0420881576,,0.0558380435,-0.0080099295
,0.0450739322,-0.0477154835,,-0.0119397194,-0.0409517734
,0.0349273104,-0.1090309175,,-0.0847836064,-0.018845263
,0.0858794334,-0.0436903521,,0.0422580638,-0.0499416341
,-0.04127846,-0.1329508563,,-0.0329296395,-0.166441824
,0.1270130619,-0.0265698587,,-0.0183695903,0.0458749619
,0.0350513637,-0.0462337432,,0.0508058336,0.0208704371
,0.014580466,0.0992870058,,-0.1012590363,-0.0212294838
,0.2839597623,-0.0835661709,,0.1243894753,-0.0760493361
,-0.0487172477,0.0425053986,,-0.0314774015,-0.0635407909
,0.018793933,0.0699260159,,0.0843304021,0.0746247898
,0.1328429475,-0.0710999414,,0.0424254652,-0.029815038
,0.0936834071,-0.0566568413,,0.0901614591,-0.0542627282
,-0.0665733538,-0.1378006448,,0.0351644603,-0.1005296464
,0.0458122745,-0.054543757,,0.0875552386,-0.0374368532
,-0.0187099809,-0.0426159591,,0.0134818109,0.1031242709
,0.0340522296,-0.0178168551,,-0.0206305517,-0.0386700046
,0.0534901266,-0.0054682986,,0.0344496882,-0.1570752516
,0.0229625681,0.0028785237,,0.0019321625,-0.0554682442
,0.0532267115,-0.1273874909,,-0.0346768449,-0.2342722684
,-0.0171846211,0.0049089302,,-0.0102450094,0.0245583856
,0.0091330396,0.1277873238,,-0.0273504802,-0.0748293368
,0.0068321667,0.0040437434,,0.0577800875,-0.0393782196
,-0.0680926083,-0.0354502102,,-0.0964277464,-0.0602148344
,0.0538614449,-0.1541465143,,-0.0173885687,-0.1100602021
,0.077038243,0.1214428907,,0.1074259884,-0.0144831985
,0.0859628024,0.1158795136,,0.056627034,-0.053858234
,0.1092344875,-0.0418946191,,0.1371528576,-0.0608360618
,,-0.0412980181,,,0.1258717039
,,0.0106948211,,,-0.0423029843
